id;target number;weight level;time;;total time
4;1;medium;3,364437
4;2;medium;1,388891
4;3;medium;1,688892
4;4;medium;1,322224
4;5;medium;0,9222233
4;6;medium;1,17778
4;7;medium;1,266669
4;8;medium;1,155557
4;9;medium;0,9333345
4;10;medium;0,9222233
4;11;medium;0,977779
4;12;medium;1,433336
4;13;medium;0,9555568
4;14;medium;1,266669
4;15;medium;1,400002
4;16;medium;1,122224
4;17;medium;1,188891
4;18;medium;1,522225
4;19;medium;1,266669
4;20;medium;1,522225
4;21;medium;1,533336
4;22;medium;1,155557
4;23;medium;1,622225
4;24;medium;1,488891
4;25;medium;1,733337
4;26;medium;1,422225
4;27;medium;1,055557
4;28;medium;1,08889
4;29;medium;1,100002
4;30;medium;1,133335
4;31;medium;1,522225
4;32;medium;1,344447
4;33;medium;1,744448
4;34;medium;1,37778
4;35;medium;1,155557
4;36;medium;1,077779
4;37;medium;1,400002
4;38;medium;1,08889
4;39;medium;1,688892
4;40;medium;1,011112
4;41;medium;2,188891
4;42;medium;1,811115
4;43;medium;1,200002
4;44;medium;1,17778
4;45;medium;1,777781
4;46;medium;1,855559
4;47;medium;1,511114
4;48;medium;1,111113
4;49;medium;1,47778
4;50;medium;0,9111122
4;51;medium;1,188891
;;;;;69,75343
4;1;light;4,375548
4;2;light;1,322224
4;3;light;1,288891
4;4;light;1,266669
4;5;light;1,366669
4;6;light;0,9888902
4;7;light;1,422225
4;8;light;1,688892
4;9;light;1,544447
4;10;light;1,033335
4;11;light;1,100002
4;12;light;1,47778
4;13;light;0,9222233
4;14;light;1,144446
4;15;light;1,344447
4;16;light;1,788892
4;17;light;1,311113
4;18;light;1,955559
4;19;light;1,222224
4;20;light;1,755559
4;21;light;1,27778
4;22;light;0,8555565
4;23;light;1,033335
4;24;light;1,311113
4;25;light;1,166668
4;26;light;1,288891
4;27;light;1,300002
4;28;light;0,9555568
4;29;light;1,344447
4;30;light;1,200002
4;31;light;1,255558
4;32;light;1,300002
4;33;light;1,27778
4;34;light;1,17778
4;35;light;1,422225
4;36;light;1,344447
4;37;light;1,300002
4;38;light;1,388891
4;39;light;1,17778
4;40;light;0,9333345
4;41;light;1,08889
4;42;light;1,37778
4;43;light;0,9111122
4;44;light;1,355558
4;45;light;1,244446
4;46;light;1,711114
4;47;light;1,255558
4;48;light;1,466669
4;49;light;1,044446
4;50;light;1,344447
4;51;light;1,000001
;;;;;68,4312
4;1;heavy;3,364437
4;2;heavy;1,333336
4;3;heavy;1,644447
4;4;heavy;0,8444453
4;5;heavy;0,9222233
4;6;heavy;1,255558
4;7;heavy;0,9555568
4;8;heavy;1,37778
4;9;heavy;1,166668
4;10;heavy;1,133335
4;11;heavy;0,9111122
4;12;heavy;0,9555568
4;13;heavy;1,466669
4;14;heavy;1,211113
4;15;heavy;1,077779
4;16;heavy;1,111113
4;17;heavy;0,8777788
4;18;heavy;1,300002
4;19;heavy;1,311113
4;20;heavy;0,9333345
4;21;heavy;1,08889
4;22;heavy;1,033335
4;23;heavy;1,677781
4;24;heavy;1,044446
4;25;heavy;1,333336
4;26;heavy;1,322224
4;27;heavy;0,8111119
4;28;heavy;1,388891
4;29;heavy;1,200002
4;30;heavy;1,066668
4;31;heavy;1,622225
4;32;heavy;1,37778
4;33;heavy;0,9888902
4;34;heavy;0,9666679
4;35;heavy;1,100002
4;36;heavy;1,222224
4;37;heavy;1,022224
4;38;heavy;1,422225
4;39;heavy;0,977779
4;40;heavy;0,977779
4;41;heavy;1,366669
4;42;heavy;1,322224
4;43;heavy;1,155557
4;44;heavy;1,233335
4;45;heavy;1,044446
4;46;heavy;0,9555568
4;47;heavy;1,111113
4;48;heavy;2,400001
4;49;heavy;0,900001
4;50;heavy;1,366669
4;51;heavy;1,811115
;;;;;63,46453
4;1;medium;4,519995
4;2;medium;0,7444451
4;3;medium;1,077779
4;4;medium;0,9888902
4;5;medium;1,044446
4;6;medium;0,8666676
4;7;medium;1,111113
4;8;medium;0,9555568
4;9;medium;1,122224
4;10;medium;1,27778
4;11;medium;1,111113
4;12;medium;1,044446
4;13;medium;1,000001
4;14;medium;1,122224
4;15;medium;1,100002
4;16;medium;0,900001
4;17;medium;1,166668
4;18;medium;1,188891
4;19;medium;1,100002
4;20;medium;1,400002
4;21;medium;1,300002
4;22;medium;0,977779
4;23;medium;1,222224
4;24;medium;1,077779
4;25;medium;1,488891
4;26;medium;1,611114
4;27;medium;1,366669
4;28;medium;1,155557
4;29;medium;1,166668
4;30;medium;1,033335
4;31;medium;0,8777788
4;32;medium;0,8555565
4;33;medium;1,144446
4;34;medium;1,17778
4;35;medium;1,455558
4;36;medium;1,17778
4;37;medium;1,044446
4;38;medium;0,8666676
4;39;medium;1,055557
4;40;medium;1,544447
4;41;medium;0,9222233
4;42;medium;1,311113
4;43;medium;1,077779
4;44;medium;1,388891
4;45;medium;1,144446
4;46;medium;1,755559
4;47;medium;1,288891
4;48;medium;1,500003
4;49;medium;1,344447
4;50;medium;1,011112
4;51;medium;1,022224
;;;;;62,20897
4;1;light;5,531119
4;2;light;1,733337
4;3;light;1,233335
4;4;light;1,200002
4;5;light;1,111113
4;6;light;1,411114
4;7;light;1,422225
4;8;light;1,244446
4;9;light;1,100002
4;10;light;1,000001
4;11;light;1,08889
4;12;light;1,000001
4;13;light;1,344447
4;14;light;1,08889
4;15;light;1,488891
4;16;light;0,9666679
4;17;light;1,066668
4;18;light;0,977779
4;19;light;1,411114
4;20;light;1,555558
4;21;light;0,9666679
4;22;light;0,9111122
4;23;light;0,9888902
4;24;light;0,9444456
4;25;light;1,200002
4;26;light;1,022224
4;27;light;1,17778
4;28;light;0,9888902
4;29;light;1,300002
4;30;light;1,166668
4;31;light;0,8222231
4;32;light;1,033335
4;33;light;1,255558
4;34;light;1,333336
4;35;light;0,9555568
4;36;light;1,677781
4;37;light;1,033335
4;38;light;1,144446
4;39;light;1,011112
4;40;light;1,08889
4;41;light;1,133335
4;42;light;1,488891
4;43;light;1,155557
4;44;light;0,7666674
4;45;light;0,9666679
4;46;light;1,333336
4;47;light;1,055557
4;48;light;0,9222233
4;49;light;0,8444453
4;50;light;1,155557
4;51;light;1,000001
;;;;;62,82008
4;1;heavy;4,29777
4;2;heavy;1,744448
4;3;heavy;1,144446
4;4;heavy;1,522225
4;5;heavy;1,366669
4;6;heavy;0,9888902
4;7;heavy;1,266669
4;8;heavy;1,211113
4;9;heavy;1,066668
4;10;heavy;1,155557
4;11;heavy;1,022224
4;12;heavy;1,455558
4;13;heavy;1,155557
4;14;heavy;1,122224
4;15;heavy;1,588892
4;16;heavy;0,8444453
4;17;heavy;1,155557
4;18;heavy;1,911115
4;19;heavy;1,055557
4;20;heavy;1,400002
4;21;heavy;1,100002
4;22;heavy;1,322224
4;23;heavy;1,111113
4;24;heavy;1,122224
4;25;heavy;1,055557
4;26;heavy;1,37778
4;27;heavy;1,166668
4;28;heavy;1,744448
4;29;heavy;1,844448
4;30;heavy;0,7888896
4;31;heavy;1,288891
4;32;heavy;1,022224
4;33;heavy;1,544447
4;34;heavy;1,055557
4;35;heavy;1,144446
4;36;heavy;0,9333345
4;37;heavy;1,144446
4;38;heavy;1,077779
4;39;heavy;1,244446
4;40;heavy;1,122224
4;41;heavy;1,877781
4;42;heavy;1,266669
4;43;heavy;0,9444456
4;44;heavy;1,17778
4;45;heavy;2,100003
4;46;heavy;1,033335
4;47;heavy;1,17778
4;48;heavy;0,8777788
4;49;heavy;1,86667
4;50;heavy;1,288891
4;51;heavy;1,200002
;;;;;67,49789
